SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
158	28474669	pubmed	Morgens DW (2017)	3-PMID28474669	20533	20533	Yes	2447	CasTLE	Column Significance	-	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	-	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	2	CasTLE Score	p-Value	-	-	-	9606	H. sapiens	authors used a cut-off of FDR<= 10% to determine significance	BioGRID ORCS	Cell-essential genes
159	28474669	pubmed	Morgens DW (2017)	1-PMID28474669	20533	20533	Yes	2264	CasTLE	Column Significance	-	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	-	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	U-937	Lymphoma Cell Line	cell proliferation	2	CasTLE Score	p-Value	-	-	-	9606	H. sapiens	authors used a cut-off of FDR<= 10% to determine significance	BioGRID ORCS	Cell-essential genes
171	27453484	pubmed	Blondel CJ (2016)	4-PMID27453484	1046	18675	No	1046	STARS	All Significant	-	High Throughput	Positive Selection	Pool	Toxin Exposure	3 Hours	V. parahaemolyticus with active T3SS2	-	= 1.0	Avana	CRISPRn	Knockout	Cas9	HT-29	Colonic Adenocarcinoma Cell Line	response to toxin	4	STARS Score	p-Value	FDR	q-Value	-	9606	H. sapiens	Phenotypic readout: cell proliferation|HT-29 cells were exposed to the gram-negative marine bacterium V. parahaemolyticus which usually expresses two type III secretion systems: T3SS1 and T3SS2. In this screen T3SS1 has been inactivated and only T3SS2 is functional. Cells were screened for gene knock-outs that conferred resistance to T3SS2 induced toxicity.|This screen is one of two biological replicates from this paper (screen 3 and 4 are replicates)	BioGRID ORCS	Increased resistance to toxin
172	28215525	pubmed	Riba A (2017)	1-PMID28215525	18671	18671	Yes	170	RSA	Score Significance	Score.1 (Log10 (p-value)) < -4.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	8 Days	Bone morphogenetic protein 2 (BMP-2)	-	= 0.5	CRISPRn (Zavolan, 2017)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	regulation of signal transduction phenotype	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Cells with low reporter expression should be those in which the sgRNA targeted an activator of the BMP pathway.	BioGRID ORCS	Positive regulators of BMP-2 signaling pathway
173	28215525	pubmed	Riba A (2017)	2-PMID28215525	18671	18671	Yes	176	RSA	Score Significance	Score.1 (Log10 (p-value)) < -4.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	8 Days	Bone morphogenetic protein 2 (BMP-2)	-	= 0.5	CRISPRn (Zavolan, 2017)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	regulation of signal transduction phenotype	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Cells with high reporter expression should be those in which the sgRNA targeted an inhibitor of the BMP pathway.	BioGRID ORCS	Negative regulators of BMP-2 signaling pathway
174	28215525	pubmed	Riba A (2017)	3-PMID28215525	18671	18671	Yes	319	RSA	Score Significance	Score.1 (Log10 (p-value)) < -4.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	8 Days	Interleukin-1 β	0.003 ng/mL	= 0.5	CRISPRn (Zavolan, 2017)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	regulation of signal transduction phenotype	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Cells with low reporter expression should be those in which the sgRNA targeted an activator of the NFkB pathway.	BioGRID ORCS	Positive regulators of NFkB signaling pathway
175	28215525	pubmed	Riba A (2017)	4-PMID28215525	18671	18671	Yes	171	RSA	Score Significance	Score.1 (Log10 (p-value)) < -4.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	8 Days	Interleukin-1 β	0.003 ng/mL	= 0.5	CRISPRn (Zavolan, 2017)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	regulation of signal transduction phenotype	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Cells with high reporter expression should be those in which the sgRNA targeted an inhibitor of the NFkB pathway.	BioGRID ORCS	Negative regulators of NFkB signaling pathway
176	28215525	pubmed	Riba A (2017)	5-PMID28215525	18671	18671	Yes	371	RSA	Score Significance	Score.1 (Log10 (p-value)) < -4.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	8 Days	Interleukin-1 β	0.3 ng/mL	= 0.5	CRISPRn (Zavolan, 2017)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	regulation of signal transduction phenotype	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Cells with low reporter expression should be those in which the sgRNA targeted an activator of the NFkB pathway.	BioGRID ORCS	Positive regulators of NFkB signaling pathway
177	28215525	pubmed	Riba A (2017)	6-PMID28215525	18671	18671	Yes	113	RSA	Score Significance	Score.1 (Log10 (p-value)) < -4.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	8 Days	Interleukin-1 β	0.3 ng/mL	= 0.5	CRISPRn (Zavolan, 2017)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	regulation of signal transduction phenotype	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Cells with high reporter expression should be those in which the sgRNA targeted an repressor of the NFkB pathway.	BioGRID ORCS	Negative regulators of NFkB signaling pathway
178	28894007	pubmed	Gulbranson DR (2017)	1-PMID28894007	18737	18737	Yes	329	MaGeCK	Column Significance	-	High Throughput	Phenotype Screen	Pool	Ligand Exposure	3 Hours	Insulin	100 nM	~ 0.4	GECKO v2	CRISPRn	Knockout	Cas9	HeLa	Cervical Adenocarcinoma Cell Line	protein transport	2	p-Value	FDR	-	-	-	9606	H. sapiens	Authors screened cells for exocytosis defects. Hela cells expressing tagged GLUT4 were exposed to insulin and then FACs sorted to identify cells with reduced surface expression of Glut4.	BioGRID ORCS	Exocytosis
179	29083409	pubmed	Meyers RM (2017)	1-PMID29083409	17670	17670	Yes	1966	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	143B	Osteosarcoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
180	29083409	pubmed	Meyers RM (2017)	2-PMID29083409	17670	17670	Yes	2060	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	5637	Urinary Bladder Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
181	29083409	pubmed	Meyers RM (2017)	3-PMID29083409	17670	17670	Yes	1919	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	8305C	Anaplastic Thyroid Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
182	29269392	pubmed	Potting C (2018)	1-PMID29269392	18703	18703	Yes	60	RSA	Column Significance	-	High Throughput	Phenotype Screen	Pool	Timecourse	15 Days	-	-	= 0.5	CRISPRn (Helliwell, 2018)	CRISPRn	Knockout	Cas9	HEK293T	Embryonic Kidney Cell Line	protein/peptide accumulation	2	Second best guide score x RSA	Log10 (p-value)	-	-	-	9606	H. sapiens	GFP-high populations are enriched for cells expressing sgRNAs that positively regulate GFP-PARKIN	BioGRID ORCS	Positive regulators of parkin abundance
183	29269392	pubmed	Potting C (2018)	2-PMID29269392	18703	18703	Yes	53	RSA	Column Significance	-	High Throughput	Phenotype Screen	Pool	Timecourse	15 Days	-	-	= 0.5	CRISPRn (Helliwell, 2018)	CRISPRn	Knockout	Cas9	HEK-293	Embryonic Kidney Cell Line	protein/peptide accumulation	2	Second best guide score x RSA	Log10 (p-value)	-	-	-	9606	H. sapiens	GFP-low populations are enriched for cells expressing sgRNAs that negatively regulate GFP-PARKIN	BioGRID ORCS	Negative regulators of parkin abundance
184	29083409	pubmed	Meyers RM (2017)	4-PMID29083409	17670	17670	Yes	1978	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	A2058	Melanoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
185	29083409	pubmed	Meyers RM (2017)	5-PMID29083409	17670	17670	Yes	2078	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	A2780	Ovarian Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
186	29083409	pubmed	Meyers RM (2017)	6-PMID29083409	17670	17670	Yes	1943	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	A549	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
187	29083409	pubmed	Meyers RM (2017)	7-PMID29083409	17670	17670	Yes	1998	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	AGS	Gastric Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
188	29083409	pubmed	Meyers RM (2017)	8-PMID29083409	17670	17670	Yes	1905	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	AU-565	Breast Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
189	29083409	pubmed	Meyers RM (2017)	9-PMID29083409	17670	17670	Yes	1841	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	BHY	Oral Squamous Cell Carcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
190	29083409	pubmed	Meyers RM (2017)	10-PMID29083409	17670	17670	Yes	1989	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	CAL-27	Tongue Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
191	29083409	pubmed	Meyers RM (2017)	11-PMID29083409	17670	17670	Yes	1677	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	CAOV-3	Ovarian Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
192	29083409	pubmed	Meyers RM (2017)	12-PMID29083409	17670	17670	Yes	2188	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	YKG1 (RCB2110)	Glioblastoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
193	29083409	pubmed	Meyers RM (2017)	13-PMID29083409	17670	17670	Yes	1881	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	YAPC	Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
194	29083409	pubmed	Meyers RM (2017)	14-PMID29083409	17670	17670	Yes	1984	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	WM-793	Melanoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
195	29083409	pubmed	Meyers RM (2017)	15-PMID29083409	17670	17670	Yes	2086	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	WM-266-4	Melanoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
196	29083409	pubmed	Meyers RM (2017)	16-PMID29083409	17670	17670	Yes	1583	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	WM-115	Melanoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
197	29083409	pubmed	Meyers RM (2017)	17-PMID29083409	17670	17670	Yes	1912	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	UACC-62	Melanoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
198	29083409	pubmed	Meyers RM (2017)	18-PMID29083409	17670	17670	Yes	1758	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	UACC-257	Melanoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
